,titles,images,ratings,prices
19,"65W Surface Pro Charger for Microsoft Surface Pro 10,9,8,7+,7,6,5,4,3,X, Windows Surface Laptop 5,4,3,2,1, Surface Laptop 5,4,3,2,1 Studio, Surface Book 3,2,1, Surface Go Tablet, with 10FT",https://m.media-amazon.com/images/I/71GE9Y+RlGL._AC_UY218_.jpg,4.9 out of 5 stars,$14.99
20,New Slim USB-C 65W 45W AC Replacement Charger for Lenovo ThinkPad T480 T4580 T490 ADLX65YDC2A ADLX65YDC3A ADLX65YLC2D ADLX65YDC2D chromebook 2nd Gen S330 65W Laptop Power Supply Adapter Cord,https://m.media-amazon.com/images/I/617UIEWxrSL._AC_UY218_.jpg,No Rating,$25.99
21,135W IdeaPad Charger for Lenovo IdeaPad Y40-70 Y40-80 Y50-70 Y50-80 Y70-70 Y70-80 Y520-15 Y530-15 Y700 Legion Y50 Y520 Y530 ADL135NLC3A 20V 6.75A Laptop Adapter,https://m.media-amazon.com/images/I/71ZLxLWz49L._AC_UY218_.jpg,No Rating,$35.00
22,"Lenovo V15 Gen 2 15.6"" FHD Portable Everyday Laptop, Intel Dual Core Processor, 8GB RAM, 512GB SSD, HDMI, Wi-Fi, Webcam, Windows 11 Home, Black",https://m.media-amazon.com/images/I/71bteddlvtL._AC_UY218_.jpg,4.0 out of 5 stars,$339.00
23,"HP 15.6"" Portable Laptop (Include 1 Year Microsoft 365), HD Display, Intel Quad-Core N200 Processor, 16GB RAM, 128GB Storage, Wi-Fi 5, Webcam, HDMI, Numeric Keypad, Windows 11 Home, Red",https://m.media-amazon.com/images/I/71pTP-ll4sL._AC_UY218_.jpg,4.2 out of 5 stars,$300.00
24,"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",https://m.media-amazon.com/images/I/815uX7wkOZS._AC_UY218_.jpg,3.9 out of 5 stars,$185.00
25,"HP Newest 14"" HD Laptop, Windows 11, Intel Celeron Dual-Core Processor Up to 2.60GHz, 4GB RAM, 64GB SSD, Webcam, Dale Pink(Renewed) (Dale Pink)",https://m.media-amazon.com/images/I/61MGsq1ZVaL._AC_UY218_.jpg,4.1 out of 5 stars,$164.99
26,"HP Portable 13.8"" HD IPS Laptop, Intel Celeron N Processor Up to 2.78GHz, 4GB DDR4, 64GB SSD, HDMI, RJ45, Webcam, Bluetooth, Windows 11, Pastel Pink(Renewed)",https://m.media-amazon.com/images/I/61bIauyrn7L._AC_UY218_.jpg,4.3 out of 5 stars,$157.98
27,"Acer Aspire 3 A315-24P-R7VH Slim Laptop | 15.6"" Full HD IPS Display | AMD Ryzen 3 7320U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home in S Mode",https://m.media-amazon.com/images/I/61gKkYQn6lL._AC_UY218_.jpg,4.3 out of 5 stars,$299.99
28,"HP Newest 14"" Ultral Light Laptop for Students and Business, Intel Quad-Core N4120, 8GB RAM, 192GB Storage(64GB eMMC+128GB Micro SD), 1 Year Office 365, Webcam, HDMI, WiFi, USB-A&C, Win 11 S",https://m.media-amazon.com/images/I/711OHeRmEaL._AC_UY218_.jpg,4.1 out of 5 stars,$289.98
29,"HP 17 Laptop, 17.3” HD+ Display, 11th Gen Intel Core i3-1125G4 Processor, 32GB RAM, 1TB SSD, Wi-Fi, HDMI, Webcam, Windows 11 Home, Silver",https://m.media-amazon.com/images/I/71CDSpds6jL._AC_UY218_.jpg,4.3 out of 5 stars,$493.22
30,"SGIN Laptops, 4GB DDR4 128GB SSD Laptop, 17 Inch Laptops Computer with Core i3 Processor (up to 2.4 GHz), Dual WiFi, Webcam, Mini HDMI, USB3.2 * 2, Type-C, 8000mAh(Black)",https://m.media-amazon.com/images/I/81Hfv3ir9zL._AC_UY218_.jpg,4.9 out of 5 stars,$239.99
31,"ACEMAGIC Gaming Laptop AMD Ryzen 7 5700U(8C/16T), Radeon RX Vega 8 Graphics,16.1“FHD Display,16GB RAM 512GB NVMe SSD Laptop Computer with Backlit KB,Type_C (Full Function),WiFi 6, 53Wh Battery",https://m.media-amazon.com/images/I/718ftedGsJL._AC_UY218_.jpg,4.5 out of 5 stars,$599.99
