,titles,images,ratings,prices
22,"UMIDIGI A15 Cell Phones 16(8+8)G+256G, Android 13 Mobile Phone, 64MP Main Camera Octa Core Smartphone Unlocked 6.7” HD+ Full-View Waterdrop Screen, 5000mAh Battery 20W Fast Charging, 4G Dual SIM, NFC",https://m.media-amazon.com/images/I/71j1piLB-JL._AC_UY218_.jpg,3.9 out of 5 stars,$169.99
23,BLU G73 | 2023 | 3-Day Battery | Unlocked | 6.8” HD+ Infinity Display | 128/6GB | Triple 50MP Camera | US Version | US Warranty | Grey,https://m.media-amazon.com/images/I/81TeO+nqxnL._AC_UY218_.jpg,4.0 out of 5 stars,$99.99
24,Google Pixel 6a - 5G Android Phone - Unlocked Smartphone with 12 Megapixel Camera and 24-Hour Battery - Sage,https://m.media-amazon.com/images/I/51mABhlKICL._AC_UY218_.jpg,4.3 out of 5 stars,$308.99
25,"OnePlus Nord N30 5G | Unlocked Dual-SIM Android Smart Phone | 6.7"" LCD Display | 8 +128GB | 5000 mAh Battery | 50W Fast Charging | 108MP Camera | Chromatic Gray",https://m.media-amazon.com/images/I/616uMtIWiiL._AC_UY218_.jpg,4.3 out of 5 stars,$299.99
26,Moto G Play 2023 3-Day Battery Unlocked Made for US 3/32GB 16MP Camera Navy Blue,https://m.media-amazon.com/images/I/61K1Fz5LxvL._AC_UY218_.jpg,4.1 out of 5 stars,$99.00
27,"Samsung Galaxy A14 5G A Series Cell Phone, Factory Unlocked GSM Android Smartphone, 4GB / 64GB Black (Renewed)",https://m.media-amazon.com/images/I/61G9RdA0EQL._AC_UY218_.jpg,4.1 out of 5 stars,$114.00
28,"SAMSUNG Galaxy A03 Core (SM-A032/DS) Dual SIM 32GB/ 2GB RAM, GSM Unlocked International Version - No Warranty - Black",https://m.media-amazon.com/images/I/61EYfTYzWML._AC_UY218_.jpg,3.8 out of 5 stars,$86.95
29,X40 Unlocked Cell Phone 2024 Android 13 Smart Phone 6.7-inch HD Screen 24MP+50MP Camera 6GB+256GB 8-Core Mobile Phone 6200 mAh Long Battery Cell Phone 5G Dual SIM (Blue),https://m.media-amazon.com/images/I/61Q7+Ldtd2L._AC_UY218_.jpg,2.5 out of 5 stars,$109.99
30,"Samsung Galaxy A25 5G (SM-A256E/DS), 128GB 6GB RAM, Dual SIM, Factory Unlocked GSM, International Version (Wall Charger Bundle) - (Blue)",https://m.media-amazon.com/images/I/51rKSoJ1-VL._AC_UY218_.jpg,4.0 out of 5 stars,$197.69
31,"Google Pixel 8a - Unlocked Android Phone with Google AI, Advanced Pixel Camera and 24-Hour Battery - Porcelain - 128 GB",https://m.media-amazon.com/images/I/71K6uDrn0jL._AC_UY218_.jpg,4.1 out of 5 stars,$499.00
